model,feature,coefficient,abs_coefficient
linear,pair_prev_count,1.6866017890878164,1.6866017890878164
linear,year_index,-1.3806449264701712,1.3806449264701712
linear,destination_prev_total,0.6805320676997043,0.6805320676997043
linear,destination_prev_count,-0.5357254919152453,0.5357254919152453
linear,origin_prev_count,0.32715763790615154,0.32715763790615154
linear,pair_prev_total,0.22692634721690746,0.22692634721690746
linear,orig_code,0.20030375990092555,0.20030375990092555
linear,code_gap,0.16411621422901418,0.16411621422901418
linear,origin_prev_total,0.045266273947549285,0.045266273947549285
linear,dest_code,-0.0019326304620139734,0.0019326304620139734
