destination,origin,size
Australia/New Zealand,Australia/New Zealand,4
Cayman Islands*,Australia/New Zealand,2
Caribbean,Australia/New Zealand,2
Canada,Australia/New Zealand,2
Cambodia,Australia/New Zealand,2
Bulgaria,Australia/New Zealand,2
Brunei Darussalam,Australia/New Zealand,2
British Virgin Islands*,Australia/New Zealand,2
Brazil,Australia/New Zealand,2
Botswana,Australia/New Zealand,2
Bolivia (Plurinational State of),Australia/New Zealand,2
Bhutan,Australia/New Zealand,2
Central African Republic,Australia/New Zealand,2
Belarus,Australia/New Zealand,2
Barbados,Australia/New Zealand,2
Bahamas,Australia/New Zealand,2
Azerbaijan,Australia/New Zealand,2
Australia/New Zealand,Zimbabwe,2
Australia/New Zealand,Zambia,2
Australia/New Zealand,Yemen,2
Australia/New Zealand,World,2
Australia/New Zealand,Western Europe,2
Australia/New Zealand,Western Asia,2
Australia/New Zealand,Western Africa,2
Bermuda*,Australia/New Zealand,2
El Salvador,Australia/New Zealand,2
Egypt,Australia/New Zealand,2
Ecuador,Australia/New Zealand,2
Eastern and South-Eastern Asia,Australia/New Zealand,2
Eastern Europe,Australia/New Zealand,2
Eastern Asia,Australia/New Zealand,2
Eastern Africa,Australia/New Zealand,2
EUROPE,Australia/New Zealand,2
Dominican Republic,Australia/New Zealand,2
Dominica,Australia/New Zealand,2
Denmark*,Australia/New Zealand,2
Central America,Australia/New Zealand,2
Cyprus,Australia/New Zealand,2
Croatia,Australia/New Zealand,2
Costa Rica,Australia/New Zealand,2
Cook Islands*,Australia/New Zealand,2
Colombia,Australia/New Zealand,2
"China, Taiwan Province of China",Australia/New Zealand,2
"China, Hong Kong SAR",Australia/New Zealand,2
China,Australia/New Zealand,2
Chile,Australia/New Zealand,2
Central and Southern Asia,Australia/New Zealand,2
Central Asia,Australia/New Zealand,2
Australia/New Zealand,Viet Nam,2
Dem. People's Republic of Korea,Australia/New Zealand,2
Australia/New Zealand,Suriname,2
Australia/New Zealand,Sudan,2
Australia/New Zealand,Sub-Saharan Africa,2
Australia/New Zealand,State of Palestine,2
Australia/New Zealand,Sri Lanka,2
Australia/New Zealand,Spain*,2
Australia/New Zealand,Southern Europe,2
Australia/New Zealand,Southern Asia,2
Australia/New Zealand,Southern Africa,2
Australia/New Zealand,South-Eastern Asia,2
Australia/New Zealand,South Sudan,2
Australia/New Zealand,Venezuela (Bolivarian Republic of),2
Australia/New Zealand,South Africa,2
Australia/New Zealand,Somalia,2
Australia/New Zealand,Solomon Islands,2
Australia/New Zealand,Small Island Developing States (SIDS),2
Australia/New Zealand,Slovenia,2
Australia/New Zealand,Slovakia,2
Australia/New Zealand,Singapore,2
Australia/New Zealand,Sierra Leone,2
Australia/New Zealand,Seychelles,2
Australia/New Zealand,Serbia*,2
Australia/New Zealand,Senegal,2
Australia/New Zealand,Saudi Arabia,2
Australia/New Zealand,South America,2
Antigua and Barbuda,Australia/New Zealand,2
Australia/New Zealand,Vanuatu,2
Australia/New Zealand,Uzbekistan,2
Australia/New Zealand,Uruguay,2
Australia/New Zealand,Upper-middle-income countries,2
Australia/New Zealand,United States of America*,2
Australia/New Zealand,United Republic of Tanzania,2
Australia/New Zealand,United Kingdom*,2
Australia/New Zealand,United Arab Emirates,2
Australia/New Zealand,Ukraine*,2
Australia/New Zealand,Uganda,2
Australia/New Zealand,Sweden,2
Australia/New Zealand,Tuvalu,2
Australia/New Zealand,Turkmenistan,2
Australia/New Zealand,Tunisia,2
Australia/New Zealand,Trinidad and Tobago,2
Australia/New Zealand,Tonga,2
Australia/New Zealand,Tokelau*,2
Australia/New Zealand,Togo,2
Australia/New Zealand,Timor-Leste,2
Australia/New Zealand,Thailand,2
Australia/New Zealand,Tajikistan,2
Australia/New Zealand,Syrian Arab Republic,2
Australia/New Zealand,Switzerland,2
Australia/New Zealand,Türkiye,2
Timor-Leste,Australia/New Zealand,2
Tajikistan,Australia/New Zealand,2
Sub-Saharan Africa,Australia/New Zealand,2
Sri Lanka,Australia/New Zealand,2
Zambia,Australia/New Zealand,2
Poland,Australia/New Zealand,2
Philippines,Australia/New Zealand,2
Peru,Australia/New Zealand,2
Papua New Guinea,Australia/New Zealand,2
Panama,Australia/New Zealand,2
