destination,migrant_stock
World,17697244548.0
High-and-upper-middle-income countries,13661481344.0
High-income countries,10699764388.0
More developed regions,9778630066.0
Europe and Northern America,9067353990.0
Less developed regions,7918614482.0
"Less developed regions, excluding China",7536539011.0
Low-and-middle-income countries,6883509102.0
"Less developed regions, excluding least developed countries",6838588441.0
Middle-income countries,6099596890.0
ASIA,5619770694.0
EUROPE,5209668917.0
Low-and-Lower-middle-income countries,3921792146.0
NORTHERN AMERICA,3857685073.0
United States of America*,3320462219.0
