origin,migrant_stock
World,16255330454.0
Low-and-middle-income countries,11892216007.0
Less developed regions,10923393175.0
"Less developed regions, excluding China",10255531406.0
Middle-income countries,9758786037.0
"Less developed regions, excluding least developed countries",7807950751.0
High-and-upper-middle-income countries,7639121765.0
Low-and-Lower-middle-income countries,7106438856.0
ASIA,6547549142.0
Lower-middle-income countries,4973008886.0
Upper-middle-income countries,4785777151.0
More developed regions,4016594030.0
Europe and Northern America,3897273653.0
EUROPE,3624326168.0
Central and Southern Asia,3181881523.0
